Department,Year 2013-14,Grants Description,"Amount (£,000s)",Grant Category,End Recipient,No. of Recipients
DCMS,2013-14,WW1 commemoration resource grants ,250,General Grant,Private Sector,Unknown
DCMS,2013-14,SP Europe and International ICT subscriptions,60,General Grant,International,1
DECC,2013-14,Warm Front Measures and Warm Front Management Fees,24000,Intermediated Grant,Unknown,Unknown
DECC,2013-14,International Climate Finance (ICF),381690,Intermediated Grant,Private Sector and Public Sector and Voluntary Sector,Unknown
DECC,2013-14,Green Deal Launch Incentives,39850,Intermediated Grant,Unknown,Unknown
DECC,2013-14,Green Deal Core Cities,80000,General Grant,Local Government ,34
DECC,2013-14,Renewable Heat Incentive AME Subsidy,90000,Intermediated Grant,Unknown,Unknown
DECC,2013-14,Renewable Heat Premium Programme - Grants,20000,General Grant,Voluntary Sector ,1
DECC,2013-14,Renewable Energy Development Support,20,General Grant,Communities,1
DECC,2013-14,Managing Radioactive Waste Safely (MRWS),192.5,Formula Grant,Local Government ,1
DECC,2013-14,Offshore Wind,4580,General Grant,Private Sector,21
DECC,2013-14,Marine Energy,2046.017,General Grant,Private Sector,2
DECC,2013-14,Buildings Innovation,165.5,Intermediated Grant,Private Sector,10
DECC,2013-14,Next Generation Carbon Capture Demonstration,10284.578,General Grant,Private Sector,14
DECC,2013-14,Advanced Waste & Biomass Conversion Technologies,1820.419,General Grant,Private Sector,4
DECC,2013-14,Electricity Storage Technologies,8822.615,General Grant,Private Sector,10
DECC,2013-14,Renewable Hydrogen Production,500,Intermediated Grant,Local Government and Public Sector,1
DECC,2013-14,Energy Entrepreneurs' Fund : Power Technologies Call,10400,General Grant,Private Sector,30
DECC,2013-14,Nuclear Fission,1330,Intermediated Grant,Private Sector and Public Sector,10
DECC,2013-14,Carbon Trust Pyrolysis Challenge,2985.491,Intermediated Grant,Private Sector,1
DECC,2013-14,Carbon Trust Polymer Fuel Cells Challenge,1074.981,Intermediated Grant,Private Sector,0
DECC,2013-14,Carbon Trust Offshore Wind Accelerator,6780,Intermediated Grant,Private Sector,0
DECC,2013-14,Carbon Trust Entrepreneurs Fast Track,50,Intermediated Grant,Private Sector,0
DECC,2013-14,Carbon Trust TINA,491.694,Intermediated Grant,Private Sector,0
DECC,2013-14,Fuel Poverty,550,General Grant,Unknown,Unknown
DECC,2013-14,Local Partnership - FIT programme,200,Intermediated Grant,Unknown,Unknown
DECC,2013-14,Offshore Renewables,1500,General Grant,Private Sector,3
DECC,2013-14,Elexon Cost for Capacity Markets ,580.555,General Grant,Private Sector,1
DECC,2013-14,Big Energy Savings Network,799.4,General Grant,Voluntary Sector ,160
DECC,2013-14,EMR Contingencies Fund Advance - CfD Counterparty Body - Set-Up,2307.423,General Grant,Private Sector,1
DECC,2013-14,Fuel Poverty,10,General Grant,Private Sector,1
DECC,2013-14,Green Deal Installer Training,1740,General Grant,Local Government ,17
DECC,2013-14,Heat Programme Costs,740,General Grant,Local Government ,2
DECC,2013-14,Heat Network Delivery Unit,3960,General Grant,Local Government ,50
DECC,2013-14,RHI - Non-OfGem Programme Costs,30,General Grant,Local Government ,1
DECC,2013-14,Energy Savings Opportunity Scheme (ESOS),100,General Grant,Public Sector,Unknown
DECC,2013-14,Nuclear Decomissioning Authority (NDA),3351000,Grant In Aid,NGO,1
DECC,2013-14,Coal Authority,30269,Grant In Aid,NGO,1
DECC,2013-14,Committee on Climate Change,4300,Grant In Aid,NGO,1
DECC,2013-14,Civil Nuclear Police Authority (CNPA),3240,Grant In Aid,NGO,1
Defra,2013-14,Keep Britain Tidy,2070,General Grant,Voluntary Sector ,1
Defra,2013-14,Air Quality Programme 2013 - 14,1000,General Grant,Local Government ,48
Defra,2013-14,Isles of Scilly Waste Grant,3300,Grant In Aid,Isles of Scilly,1
Defra,2013-14,Waste and Resources Action Programme ,25740,General Grant,Voluntary Sector ,1
Defra,2013-14,WRAP Support for retailers to develop and implement policies to make the transition to sustainable growing media,10,General Grant,Voluntary Sector ,1
Defra,2013-14,Waste Shipments EA Scotland and NI,649,Grant In Aid,EA Scotland and NI,2
Defra,2013-14,Management of the Flycapture Database 2013 - 14,199,General Grant,Public Sector,1
Defra,2013-14,Vehicle Certification Agency,270,Grant In Aid,Vehicle Certification Agency,1
Defra,2013-14,Waste Infrastructure PFI credit,85103,Grant In Aid,Various LAs,22
Defra,2013-14,Waste Household Reward and Recognition Scheme - (Phase 2),230,General Grant,Local Government and Voluntary Sector ,3
Defra,2013-14,Adaptation Sub Committee,710,Grant In Aid,Adaptation Sub Committee,1
Defra,2013-14,EA  4 year Climate Change and Adaptation Grant,1600,Grant In Aid,EA ,1
Defra,2013-14,Local Services Support,15000,Intermediated Grant,Local Government ,152
Defra,2013-14,Flood Community Resilience Pathfinder,1680,General Grant,Local Government ,13
Defra,2013-14,Fire and Rescue Service National Control Centre,30,General Grant,Local Government ,1
Defra,2013-14,East Coast Working Group Exercise Towbar,10,General Grant,Local Government ,1
Defra,2013-14,Floods Forecasting and Alerts Service,2290,General Grant,Public Sector,1
Defra,2013-14,Working with National Processes Land Management Projects,180,General Grant,Public Sector and  Voluntary Sector,3
Defra,2013-14,Catchment Sensitive Farming,5840,General Grant,Public Sector,1
Defra,2013-14,Water Framework Directive,3170,General Grant,Public Sector,1
Defra,2013-14,Bathing Water Regulations 2013,610,General Grant,Local Government ,30
Defra,2013-14,Catchment Based Approach,1400,Intermediated Grant,Voluntary Sector ,72
Defra,2013-14,Technical help and support Catchment Based Approach (CaBA),200,General Grant,Private Sector,1
Defra,2013-14,Consumer Council for Water Grant-in-Aid,5130,Grant In Aid,Public Sector,1
Defra,2013-14,Environment Agency Grant-in-Aid,720870,Grant In Aid,Public Sector,1
Defra,2013-14,Contaminated Land Grants to Local Authorities,2000,Intermediated Grant,Local Government and Public Sector,36
Defra,2013-14,FCRM Grants to Local Authorities and Internal Drainage Boards,68100,Intermediated Grant,Local Government and Public Sector,143
Defra,2013-14,Catchment Restoration Fund to Charities,9720,Intermediated Grant,Voluntary Sector ,31
Defra,2013-14,Catchment Restoration Fund to Charities (EA additional element),360,Intermediated Grant,Voluntary Sector ,31
Defra,2013-14,Catchment Based Approach to Voluntary Sector,1400,Intermediated Grant,Voluntary Sector ,Unknown
Defra,2013-14,Contribution to the Global Biodiversity Information Facility: improved access to global data on biodoversity and ecosystem services (Jan-March 14),149,General Grant,International,1
Defra,2013-14,IPBES 2014 Contribution,138,General Grant,International,1
Defra,2013-14,Environmental Valuation Resource Inventory - (EVRI),12.5,Intermediated Grant,International,1
Defra,2013-14,Darwin Initiative - Scoping Projects ,25,General Grant,Public Sector and voluntary Sector,1
Defra,2013-14,Darwin Initiative - Main Round Projects ,2430,General Grant,Public Sector and voluntary Sector  ,29
Defra,2013-14,Darwin Initiative - Fellowship,109,General Grant,"Public Sector, Voluntary Sector and International",6
Defra,2013-14,"Darwin Initiative - Plus Projects 
",861,General Grant,"Public Sector, Voluntary Sector and International",14
Defra,2013-14,Darwin Plus,1970,General Grant,"Public Sector, Voluntary Sector and International",16
Defra,2013-14,Darwin Initiative - Post Projects ,347,General Grant,Public Sector and Voluntary Sector,3
Defra,2013-14,The Darwin Initiative Grant Scheme _ Overseas Territories Challenge and Fellowship Awards,2,General Grant,Public Sector and Voluntary Sector ,1
Defra,2013-14,International Biodiversity Voluntary Contributions,1620,Intermediated Grant,International,9
Defra,2013-14,Natural England ,8710,Grant In Aid,Public Sector,NA
Defra,2013-14,Nature Improvement Areas,4120,Intermediated Grant,"Local Government, Public Sector and Voluntary sector  ",12
Defra,2013-14,National Trails,1950,Intermediated Grant,Local Government and Public Sector and voluntary Sector ,32
Defra,2013-14,SSSI Wildlife - Conservation Enhancement Scheme (WES - CES),1222.8,Intermediated Grant,Local Government and Voluntary Sector and Private Sector,132
Defra,2013-14,Fallen Stock Scheme,140,General Grant,Private Sector,Unknown
Defra,2013-14,National Federation of Young Farmers Clubs,60,Grant In Aid,Private Sector and Individuals,Unknown
Defra,2013-14,Open Farm Sunday 2014 - Natural Environment White Paper Commitment 64,15,General Grant,NGO,Unknown
Defra,2013-14,School Milk Subsidy Scheme (England only),250,Intermediated Grant,Public Sector,Unknown
Defra,2013-14,"School Food Plan: Developing guidance, case studies and website",24,General Grant,Voluntary Sector ,1
Defra,2013-14,Campaign for the Farmed Environment (CFE) - Phase II    ,636,General Grant,Voluntary Sector ,1
Defra,2013-14,CFE FY14/15,670,General Grant,Voluntary Sector ,1
Defra,2013-14,Local Services Support Grant ,3000,Intermediated Grant,Local Government ,39
Defra,2013-14,Areas of Outstanding Natural Beauty,6667,Intermediated Grant,Local Government ,34
Defra,2013-14,National Forest Company,2940,Grant In Aid,Public Sector,1
Defra,2013-14,National Parks & Broads,50000,Intermediated Grant,Public Sector,10
Defra,2013-14,Canal and River Trust Grant,39000,General Grant,Voluntary Sector ,1
Defra,2013-14,Forestry Commission - England Woodlands Grants Scheme (both RDPE and Non RDPE),27900,Intermediated Grant,Private Sector and Individuals,3878
Defra,2013-14,Forestry Commission - Farm Woodland Scheme - Farm Woodland Premium Scheme,7200,Intermediated Grant,Private Sector and Individuals,4862
Defra,2013-14,National Forest Company - Changing Landscapes Scheme,920,Intermediated Grant,Local Government and Voluntary Sector and Private Sector,15
Defra,2013-14,National Forest Company - Freewoods and Parklands Scheme,80,Intermediated Grant,Local Government and Voluntary Sector and Private Sector,6
Defra,2013-14,National Forest Company -Programme Development Grants,150,Intermediated Grant,Local Government and Voluntary Sector and Private Sector,50
Defra,2013-14,EuP and Labelling Enforcement Services    ,1300,General Grant,Public Sector,1
Defra,2013-14,Capacity Building for the Environmental Volunteering Sector,100,General Grant,Voluntary Sector ,1
Defra,2013-14,Translocation of the Fera Chelsea Flower Show Garden,3,General Grant,Voluntary Sector ,1
Defra,2013-14,Grant for Severe Winter Weather Livestock Carcase Disposal,250,General Grant,Voluntary Sector ,1
Defra,2013-14,Pitch at Bird Fair for the PAW Roadshow,1,General Grant,Voluntary Sector ,1
Defra,2013-14,Funding for maintenance and repair of the PAW Trailer,1,General Grant,Voluntary Sector ,1
Defra,2013-14,Facilitating badger vaccination by voluntary and community sector organisations,60,General Grant,Voluntary Sector ,1
Defra,2013-14,Royal Botanical Gardens Kew - Grant in Aid,27180,Grant In Aid,Public Sector,1
Defra,2013-14,Marine Management Organisation,27300,Grant In Aid,Public Sector,1
Defra,2013-14,Secretariat Contribution - Convention on Biological Diversity,37,General Grant,International,1
Defra,2013-14,Predatory Bird Monitoring Scheme: Chemical contaminant monitoring (PBMS) ,10,General Grant,Public Sector,1
Defra,2013-14,People Engagement Group Project ,20,General Grant,Voluntary Sector ,1
Defra,2013-14,Consumer recycling communications initiative 'Plastic Matters' ,20,General Grant,Voluntary Sector ,1
Defra,2013-14,ASCOBANS - outreach and events (protection of marine mammals) ,5,General Grant,International,1
Defra,2013-14,Sustainability and Performance Standards for Growing Media ,50,General Grant,Voluntary Sector ,1
Defra,2013-14,Fresh Water Pearl Mussel Species Recovery Project ,20,General Grant,Public Sector,1
Defra,2013-14,Contribution to the UK National Wildlife Crime Unit ,136,General Grant,Police,1
Defra,2013-14,Contribution to the coordination of ICCWC work,183,General Grant,International,1
Defra,2013-14,Contribution towards funding of activities by ICCWC,185,General Grant,Voluntary Sector ,1
Defra,2013-14,Funding for WRAP Carrier Bag Charging,75,General Grant,Voluntary Sector ,1
Defra,2013-14,National Contact Point CIP for Eco-Innovation,10,General Grant,Public Sector,1
Defra,2013-14,Contribution towards 1st meeting of the Technical Advisory Group of the UNEP - CMS MoU on the Conservation of Migratory Birds of Prey in Africa and Eurasia,10,General Grant,International,1
Defra,2013-14,Deer Initiative,20,General Grant,Voluntary Sector ,1
Defra,2013-14,Funding of a workshop to help develop a domestic recovery programme for Eurasian Curlew,5,General Grant,Voluntary Sector ,1
Defra,2013-14,International Whaling Commission (IWC) - Small Cetaceans Fund,20,General Grant,International,1
Defra,2013-14,International Whaling Commission (IWC) - Welfare Initiative,10,General Grant,International,1
Defra,2013-14,Community Partnership Waste Prevention Fund,800,General Grant,Voluntary Sector ,1
Defra,2013-14,Chair of the UNECE CLRTAP Executive Body,27,General Grant,Universities,1
Defra,2013-14,Marine Convention on Migratory Species (CMS) MoU on Migratory Sharks,30,General Grant,International,1
Defra,2013-14,BACVI Vaccination West Penwith,49,General Grant,Private Sector and Voluntary Sector  ,1
Defra,2013-14,Biosecurity Review for Tristan da Cunha,15,General Grant,International,1
Defra,2013-14,Contribution to the costs of an action-planning workshop for the Long Tailed Duck,4,General Grant,International,1
Defra,2013-14,Grant to the office of the Chair of the Species Survival Commission (SSC) of the International Union for the Conservation of Nature (IUCN),50,General Grant,International,1
Defra,2013-14,EU INSPIRE,2621,General Grant,Local Government ,1
Defra,2013-14,AVOID 2,60,General Grant,Public Sector,1
Defra,2013-14,Funding for the future development of MAPISCO (Method for Assessing Priorities for International Species Conservation) ,7,General Grant,International,1
Defra,2013-14,International Climate Fund 2013: Investment in the Bio Carbon Fund Tranche 3,25000,General Grant,International,1
Defra,2013-14,Sustainable Urban Drainage (SuDS),15185,General Grant,Local Government,1
Defra,2013-14,Regional Wildlife Forensics Co-ordinator ,95,General Grant,Private Sector,1
Defra,2013-14,Bushmeat Working Group - contribution to the Secretariat,3,General Grant,Voluntary Sector ,1
Defra,2013-14,Chatham House European Timber regulation (EUTR) workshops funding,19,General Grant,Voluntary Sector ,1
Defra,2013-14,Flagship Species Fund,100,General Grant,Private Sector,1
Defra,2013-14,Financial Contribution to UKOTCF Conference,20,General Grant,Voluntary Sector ,1
Defra,2013-14,Contribution to the UK Government hosted international conference on the Illegal Wildlife Trade in London 12-13 February 2014,156,General Grant,Central Government,1
Defra,2013-14,CITES Support  for Montserrat,5,General Grant,International,1
Defra,2013-14,Contribution to the running of EU-TWIX,50,General Grant,Voluntary Sector and Communities ,1
Defra,2013-14,Contribution to development of a conceptual framework for the Intergovernmental Platform on Biodiversity and Ecosystems Services (IPBES) Financial Contribution 2013 - 14 ,165,General Grant,International,1
DfE,2013-14,SUSW,6770,General Grant,Local Government ,0
DfE,2013-14,Special Educational Needs Green Paper Pilot,5137.5,Unknown,Local Government ,0
DfE,2013-14,Book Gifting Programme,6000,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,"National Prospectus Grant Programme for Improving Outcomes for Children, Young People and Families",1000,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Youth Voice - National Support for Youth Participation,366,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),713.9,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),640.432,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),584.2,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),250.864,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),242.223,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),73.65,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),362.691,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),75.358,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,NSPCC HelpLines,2200,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),328.085,General Grant,Unknown,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),175.925,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),139.237,General Grant,Voluntary Sector and Communities ,3
DfE,2013-14,National VCS Prospectus Grant (2013-15),306.496,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),252.454,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),459.204,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),633.51,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),299.805,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),139.517,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),415,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),660.924,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),108.396,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),173.332,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),97.29152,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),225.831,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),186.56,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),169.286,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),608.249,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),385.024,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,NMSS revenue payments,144.064,Unknown,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),536.411,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),390.386,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),500.01445,General Grant,Voluntary Sector and Communities ,3
DfE,2013-14,National VCS Prospectus Grant (2013-15),398.464,General Grant,Voluntary Sector and Communities ,6
DfE,2013-14,National VCS Prospectus Grant (2013-15),397.379,General Grant,Voluntary Sector and Communities ,4
DfE,2013-14,National VCS Prospectus Grant (2013-15),555.72,General Grant,Voluntary Sector and Communities ,2
DfE,2013-14,National VCS Prospectus Grant (2013-15),323.6,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),693,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,National VCS Prospectus Grant (2013-15),402.444,General Grant,Voluntary Sector and Communities ,3
DfE,2013-14,National VCS Prospectus Grant (2013-15),521.475,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),250.039,General Grant,Voluntary Sector and Communities ,5
DfE,2013-14,National VCS Prospectus Grant (2013-15),152.7,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National VCS Prospectus Grant (2013-15),540.34188,General Grant,Local Government ,0
DfE,2013-14,"National Prospectus Grant Programme for Improving Outcomes for Children, Young People and Families",3000,General Grant,Voluntary Sector and Communities ,5
DfE,2013-14,"National VCS Prospectus Grant (2013-15)
Strategic Partner",600,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14, Prospectus,200,General Grant,Local Government ,0
DfE,2013-14, Prospectus,184,General Grant,Local Government ,0
DfE,2013-14, Prospectus,50,General Grant,Local Government ,2
DfE,2013-14, Prospectus,100,General Grant,Local Government ,6
DfE,2013-14, Prospectus,50,General Grant,Local Government ,5
DfE,2013-14, Prospectus,196,General Grant,Local Government ,1
DfE,2013-14, Prospectus,200,General Grant,Local Government ,0
DfE,2013-14, Prospectus,145,General Grant,Local Government ,0
DfE,2013-14,Multi-Systemic Therapy (MST),720,General Grant,Local Government ,0
DfE,2013-14,(E) Evidence Based Intervention Pilots,5670,General Grant,Local Government ,0
DfE,2013-14,(N) Evidence Based Intervention Pilots,2021,General Grant,Local Government ,0
DfE,2013-14,Sector Led Improvement,2100,General Grant,Local Government ,0
DfE,2013-14,DCS Leadership Provision,2600,General Grant,Unknown,0
DfE,2013-14,Contact activities and contact services,7900,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Relationship Support Services _ Policy and Local Infrastructure Development,100,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,Relationship Support Services _ Policy and Local Infrastructure Development,617.182,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Family and Friends,100,General Grant,Unknown,1
DfE,2013-14,Fostering Improvement Programme,75,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14, Fostering Improvement Programme,75,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14, Fostering Improvement Programme,75,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VAA boost package - start up grants,500,General Grant,Voluntary Sector and Communities ,3
DfE,2013-14,VAA boost package - start up grants,500,General Grant,Voluntary Sector and Communities ,3
DfE,2013-14,VAA boost package - start up grants,500,General Grant,Voluntary Sector and Communities ,7
DfE,2013-14,Adoption Reform Grant,150000,General Grant,Unknown,0
DfE,2013-14,AS VCS grant adoption matters NW ,187.96,General Grant,Unknown,0
DfE,2013-14,AS VCS grant after adoption,234.555,General Grant,Unknown,3
DfE,2013-14,AS VCS grant Coram ,300,General Grant,Unknown,0
DfE,2013-14,BAAF VCS grant National Adoption Week (NAW) (OMC),159.895,General Grant,Unknown,3
DfE,2013-14,BAAF VCS grant matching (DP),331.07,General Grant,Unknown,1
DfE,2013-14,Consortium of Voluntary Adoption Agencies (CVAA),1102.2,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Catch22,97.334,General Grant,Voluntary Sector and Communities ,5
DfE,2013-14,National ChildrenÕs Bureau ,158.509,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Who Cares Trust,100,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Family Rights Group,100,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,New Belongings,65.2,Ad Hoc,Voluntary Sector and Communities ,0
DfE,2013-14,Birmingham City Council - supporting the DiCS,25,Ad Hoc,Local Government ,0
DfE,2013-14,LSCB Chairs,90,General Grant,Local Government ,0
DfE,2013-14,SUSW,17572,General Grant,Local Government ,0
DfE,2013-14,ASYE,4000,General Grant,Local Government ,0
DfE,2013-14,VCS Prospectus,299.389,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,137.715,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,122.73,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,193.7,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,145.055,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,392,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,129,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,455.8,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,348.811,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,415.4,General Grant,Voluntary Sector and Communities ,1
DfE,2013-14,VCS Prospectus,730.637,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,718.131,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,194.55735,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,117.332,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,117.724,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,64.961,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,162.66751,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,207.881,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,637.925,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,VCS Prospectus,585.939,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Frontline Social Work Entry Route Pilot,1216.494,General Grant,Unknown,0
DfE,2013-14,Financial assistance to establish strategic partnership,500,General Grant,Local Government ,0
DfE,2013-14,Doncaster Children's Services Improvement Activity,250,General Grant,Local Government ,0
DfE,2013-14,The College of Social Work,650,General Grant,Unknown,0
DfE,2013-14,LSCB Chairs,180,General Grant,Unknown,"5,000"
DfE,2013-14,Parent Carer Forum Grants,1607,General Grant,Public Sector,"20,000"
DfE,2013-14,Family Fund Trust,27323,Ad Hoc,Local Government and Public Sector,"5,000"
DfE,2013-14,CAFCASS GIA,134987.571,Grant In Aid,Local Government and Public Sector NDPB,"21,000"
DfE,2013-14,OCC GIA,2271,Grant In Aid,Local Government and Public Sector,900
DfE,2013-14,Pre-16 Education Funding (Academies),11128619.37,Grant In Aid,Local Government and Voluntary Sector and  Private Sector,Unknown
DfE,2013-14,Pre-16 Education Funding (Maintained Schools),31403045.71,Formula Grant,Unknown,Unknown
DfE,2013-14,Post-16 Education Funding (Sixth Forms - Academies),1392123,Formula Grant,Public Sector,600
DfE,2013-14,Post-16 Education Funding (Sixth Forms - Maintained Schools),856371.243,Formula Grant,Unknown,98
DfE,2013-14,Post-16 Education and Training Funding,3863498,Formula Grant,Local Government and Voluntary Sector and Private Sector,"150,000"
DfE,2013-14,Work placement pilot,708,Formula Grant,Private Sector and Individuals,0
DfE,2013-14,"Internship programme, London councils grant",903,General Grant,Private Sector,"6,000"
DfE,2013-14,16-18 Apprenticeships,728049.944,Grant In Aid,Local Government and Voluntary Sector and Private Sector,0
DfE,2013-14,"16-25 Education for Young People with learning Dificulties and, or Disabilities",80065.63,Formula Grant,Unknown,0
DfE,2013-14,Financial support for young people to continue in learning age 16-19,223425,Formula Grant,Unknown,0
DfE,2013-14,PfI Grants,735000,Unknown,Local Government ,0
DfE,2013-14,Capital Grant Funding,3956387.818,Formula Grant,Unknown,0
DfE,2013-14,ÔJANETÕ broadband services for schools,1020.608,General Grant,Public Sector,0
DfE,2013-14,Revenue funding for security guarding in Jewish maintained schools,2173,General Grant,Public Sector,0
DfE,2013-14,Zero Exclusion Pilot,200,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Service Leavers as Mentors  ,210,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,"Music Education Grant, In Harmony, NYMOs and ACE Remit Fee",64771,Formula Grant,Public Sector,0
DfE,2013-14,Institute of Education - Centre for Holocaust Education,500,General Grant,Unknown,0
DfE,2013-14,Volunteer Leaders and Coaches,950,General Grant,Local Government and Public Sector ,0
DfE,2013-14,Holocaust Educational Trust 'Lessons from Auschwitz',1850,General Grant,Unknown,0
DfE,2013-14,European Space Education Resources Office (ESERO),72,General Grant,Local Government and Public Sector ,0
DfE,2013-14,Section 48 Grant,1200,General Grant,Public Sector,0
DfE,2013-14,ACME (Advisory Committee for Mathematics Education ),44,General Grant,Local Government and Public Sector,0
DfE,2013-14,SCORE (Science Community Representing Education),44,General Grant,Local Government and Public Sector,0
DfE,2013-14,Project ENTHUSE - Please note this grant is administered by NCTL,2000,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,STEM Clubs,200,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Royal Academy of Engineering,12,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,CREST Awards,250,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,PSHE Association,100,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Museums and Galleries,1500,General Grant,Local Government and Public Sector ,0
DfE,2013-14,School Milk Top Up,300,Formula Grant,Unknown,0
DfE,2013-14,Music and Dance Scheme (MDS),28100,General Grant,Public Sector,0
DfE,2013-14,"Virtual Headteacher grant for Gypsy, Romany and Traveller Pupils",91.32,General Grant,Local Government,0
DfE,2013-14,Big Bang Fair,150,General Grant,Private Sector,0
DfE,2013-14,Challenger Troop CIC,713.812,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Skillforce-Raising Attainment by using Military Ethos in Schools,497.108,General Grant,Voluntary Sector and Communities ,0
