Funding Org:Name,Grant Programme:Code,Grant Programme:Title,Aims and objectives,Value per year,Start Date,End Date,Duration Numeric,Allocation Method,Recipient Sector,COFOG L0 Long Name
Department for International Development,SCH-000002196,Clinton Health Access Initiative Expansion of Demand-Driven Evaluations for Decisions,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,564,800",01/09/15,31/08/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002201,Community Security and Justice - Part-Suspended,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"128,099",09/06/11,08/06/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002203,Complementary food production (CHAI),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,676,010",29/01/14,28/01/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002205,CONGO - Improving Livelihoods and Land Use in Congo Basin Forests,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,278,859",01/07/15,30/06/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002206,Contributing to the control of Malaria in Uganda,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"9,529,281",16/10/13,15/10/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002207,Contribution to World Bank ELP (Early Learning Partnership) Trust Fund for Early Childhood Education Research,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"725,000",01/09/15,31/08/19,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002210,Corporate Volunteering Hub (CVH) Seed Funding,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"566,667",18/12/12,17/12/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002211,Cotton Sector Development Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,556,242",01/10/11,30/09/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002214,Dar Es Salaam Port Improvement Programme (preparatory Phase),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"12,520,000",15/05/15,14/05/18,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002215,Deepening and Broadening Access to Financial Services in Mozambique,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"41,667",10/08/12,09/08/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002216,Deepening Democracy in Nigeria 2 (DDIN2),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,813,628",14/02/13,13/02/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002217,Deepening Democracy Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,762,350",01/07/14,30/06/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002220,Delivering Increased Family Planning Across Rural Kenya,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,792,742",24/09/12,23/09/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002224,Development Economics Research ? Phase 3 of Funding for United Nations University?s World Institute for Development Economics Research (UNU-WIDER),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,000,000",01/01/14,31/12/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002616,SUB NATIONAL GOVERNANCE - KHYBER PAKHTUNKHWA AND PUNJAB,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,419,606",01/04/11,31/03/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002617,Sudan free of Female Genital Cutting.,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,860,673",01/07/13,30/06/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002620,Support for PARIS21,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,200,000",01/09/09,31/08/18,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002625,Support to Afghanistan's Political Governance Institutions and Process,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,480,000",30/04/14,29/04/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002626,Support to Anti-Corruption Initiatives,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"716,750",01/12/14,30/11/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002627,Support to Bangladesh?s National Urban Poverty Reduction Programme (NUPRP),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"6,455,556",01/02/13,31/01/22,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002629,Support to demining (Phase 2),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,846,078",01/04/13,31/03/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002633,Support to Family Planning,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"366,672",01/04/11,31/03/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002702,Tristan da Cunha Technical Cooperation and Capacity Building,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,370,000",01/04/15,31/03/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002637,Support to Malaria Control in the Democratic Republic of Congo,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"14,286",22/05/12,21/05/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002638,Support to Monitoring and Evaluation Committee,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"509,775",01/07/12,30/06/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002639,"Support to Open Government, Data and Accountability in Tanzania",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,266,667",01/04/14,31/03/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002642,Support to Public Finance Management (PFM) in Tajikistan,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,566,667",01/06/15,31/05/18,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002643,Support to Refugees and Migration programme in Ethiopia,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"31,250,000",01/01/16,31/12/19,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002505,Provision of Technical Assistance to the Syria Crisis Response,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"7,417,000",05/10/15,04/10/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002508,Public Financial Management and Accountability in the Democratic Republic of Congo,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"310,457",02/04/12,01/04/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002510,Public Financial Management Improvement and Consolidation Project,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,703,676",10/03/14,09/03/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002644,"Support to Rural Water Supply, Sanitation & Hygiene in Tanzania",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"28,990,072",18/06/13,17/06/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002646,Support to the Economic Recovery of Somalia (SERS),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,540,000",20/05/14,19/05/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002647,Support to the Global Agriculture and Food Security Programme (GAFSP),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"18,666,667",01/10/11,30/09/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002648,Support to the Global Partnership for Education 2015-18,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"70,000,000",01/01/15,31/12/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002649,Support to the Health Results Innovation Trust Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"9,500,000",19/06/09,18/06/21,12,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002650,Support to the International federation of Accountants,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"706,511",21/03/14,20/03/21,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002652,Support to the Liberia Health Sector Strategy.,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,419,500",01/02/08,31/01/18,10,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002672,Sustainable Crop Production Research for International Development (SCPRID),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"777,778",01/11/10,31/10/19,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002653,"Support to the multilateral Climate Investment Funds (CIFs), four funding windows supporting country-led investments in low carbon, climate-resilient development",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"64,212,732",01/07/08,30/06/22,14,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002654,Support to the National Strategy for the Development of Statistics in Rwanda,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,571,335",19/10/10,18/10/17,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002655,Support to the Open Government Partnership,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"367,500",01/11/13,31/10/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002656,Support to the peace process and peace building to build sustainable peace and create opportunities for growth,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"10,100,000",15/10/15,14/10/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002658,Support to the Rwanda Public Financial Management Sector Strategic Plan (2013-2018),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,048,675",21/10/13,20/10/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002659,Support to the United Kingdom Search and Rescue (UKISAR) for Emergency Response Operations Overseas (2015-18),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"265,000",01/04/15,31/03/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002660,Support to the United Nations Population Fund (UNFPA) for the Syria Crisis,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"11,750,000",01/12/15,30/11/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002661,Support to the Violence against Women and Girls United Nations Trust Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,000,000",31/12/14,30/12/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002662,Support to Uganda?s Response on Gender Equality (SURGE) Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,218,000",31/07/15,30/07/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002665,Supporting Effective Democratic Governance,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,500,000",01/04/15,31/03/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002667,Supporting Indian Trade and Investment for Africa,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,500,09/03/14,08/03/20,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002668,Supporting peace and stability in eastern Democratic Republic of Congo,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,438,079",01/08/11,31/07/18,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002552,Scaling up orange fleshed sweetpotato through the International Potato Center,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,400,000",01/07/13,30/06/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002554,Science in Development Network (SCIDEV.Net),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"589,542",01/04/08,31/03/17,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002555,"SEAG - Sustainable Energy, Access and Gender",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,239,585",06/11/13,05/11/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002676,Tanzania Education Quality Improvement Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,793,818",27/03/12,26/03/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002679,Tax administration diagnostic tool development (TADAT),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"356,600",01/07/13,30/06/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002680,Tax Modernisation Programme Grant ? Corporate Plan 4,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,360,000",01/12/13,30/11/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002681,Technical Assistance for Nutrition,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,820,000",01/05/15,30/04/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002684,The Good Governance Fund - Collaboration with International Financial Institutions and other partners,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,318,362",02/07/15,01/07/19,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002511,Public Financial Management Reform Programme Phase 4,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,250,000",15/11/11,14/11/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002513,Public Sector Performance Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"600,001",01/01/13,31/12/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002515,Punjab Education Support Programme II,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"42,833,333",01/04/12,31/03/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002516,Queen Elizabeth Diamond Jubilee Trust: UK Contribution,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"6,000,000",01/07/13,30/06/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002518,Red Nose Day 2013 ? improving the lives of women and girls in sub-Saharan Africa,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,218,750",01/04/13,31/03/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002519,Reducing barriers and Increasing Demands for Reproductive Health Services in Ethiopia,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,581,150",16/09/11,15/09/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002685,"The Special Programme of Research, Development and Research Training in Human Reproduction (HRP)",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"600,000",01/04/13,31/03/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002686,"The Three Millennium Development Goal Fund for addressing essential maternal and child health needs of poor and vulnerable women, children and for people with HIV, Tuberculosis and Malaria in Burma",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"12,714,286",26/11/10,25/11/17,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002687,The Water Security Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"7,578,597",12/09/11,11/09/18,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002688,Think Tank Initiative Phase II,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,314,654",01/10/14,30/09/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002689,"To contribute to the Least Developed Countries Fund for adaptation, hosted by the Global Environment Fund.",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"10,000,000",01/04/16,31/03/19,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002692,To improve the quality of Economic Research and policy making in Africa by improving the quality of MSc and PhD Economic graduates and training young researchers,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,860,000",01/03/15,29/02/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002693,To Support the General Education Quality Improvement in Ethiopia,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"23,970,000",18/10/13,17/10/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002695,Trademark Tanzania,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,375,000",01/07/09,30/06/17,8,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002699,Transparency and Right to Information,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,666,667",01/10/14,30/09/20,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002521,Regional East Africa Integration Programme Phase II,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,035,730",21/03/12,20/03/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002524,Releasing the Transformational Potential of Extractives for Economic Development,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"98,482",01/09/12,31/08/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002525,Renewable Energy and Adaptation Climate Technologies (Africa Climate Change Challenge Fund),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,456,364",12/02/10,11/02/21,11,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002527,Research on Growth and High Volume Transport in Low Income Countries,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"61,111",01/01/14,31/12/22,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002528,Resilience support to Pakistan,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"14,778,014",20/07/14,19/07/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002531,Results Based Financing for Low Carbon Energy Access,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"5,714,286",01/05/12,30/04/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002532,"Results, Evidence and Knowledge from the International Climate Fund",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"320,103",21/06/12,20/06/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002533,Revenue Administration Programme - Tax Common Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,091,667",05/11/12,04/11/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002673,Sustainable Energy for Women and Girls (SEWG),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,312,500",01/09/14,31/08/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002675,Tackling Corruption by Tackling Drug Trafficking in Ghana,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"516,750",22/06/13,21/06/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002538,Rule of Law Expertise Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"579,386",30/09/14,29/09/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002536,Robert Carr Civil Society Network Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,800,000",01/08/12,31/07/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002539,Rural Access Programme 3,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"857,143",03/02/12,02/02/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002540,Rural Water and Sanitation Programme Phase V,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,235,500",01/06/12,31/05/20,8,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002542,Rwanda Investment Climate Reform Programme Phase III (RICRP3),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,578,333",24/07/14,23/07/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002544,Rwanda Learning for All Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"7,625,000",12/08/14,11/08/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002548,Sanitation and Hygiene Programme in Zambia,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,808,312",01/04/11,31/03/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002550,Saving Lives at Birth,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"942,857",01/08/12,31/07/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002551,Scaling up of the Energy and Environment Partnership with Southern and East Africa,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"5,337,667",01/12/11,30/11/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002537,Royal Society-DFID Africa Initiative,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"698,238",01/11/12,31/10/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002558,Security and risk management in hostile environments,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"454,905",01/05/13,30/04/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002562,SHEAR - Science for Humanitarian Emergencies and Resilience,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,154,781",01/09/10,31/08/19,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002563,SIEF Strategic Impact Evaluation Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,088,889",01/04/12,31/03/21,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002564,Sierra Leone Support to the Presidential Delivery Unit Phase II,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,285,000",30/11/15,29/11/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002566,SIMBA (Skills & Innovation for Micro Banking in Africa),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,000,393",07/12/09,06/12/18,9,General Grants - Un-competed,International,1. General public services
