Funding Org:Name,Grant Programme:Code,Grant Programme:Title,Aims and objectives,Value per year,Start Date,End Date,Duration Numeric,Allocation Method,Recipient Sector,COFOG L0 Long Name
Department for International Development,SCH-000002248,Emergency Education System Stabilisation Project in Lebanon,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"10,600,000",01/12/14,30/11/16,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002250,End Child Marriage Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"14,624",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002251,Ending the Cycle of Undernutrition in Bangladesh - Suchana [nutsen],To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,333,333",01/07/15,30/06/21,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002252,Enhancing Community Resilience Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,409,485",01/12/10,30/11/16,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002253,Enhancing Growth in New Enterprises (ENGINE),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,021,647",23/07/13,22/07/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002254,Enhancing Nigeria's Response to HIV/AIDS,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"625,000",01/10/08,30/09/16,8,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002255,Enhancing resilience in Karamoja Uganda,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"10,033,932",18/07/12,17/07/16,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002256,Enterprise and Assets Growth Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"16,548,075",01/02/12,31/01/24,12,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002257,Ethical Trading Initiative Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"462,036",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002258,Ethiopia Investment Advisory Facility,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,540",14/03/14,13/03/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002259,Europe Development Fund - 10TH Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"333,377,021",12/11/08,11/11/16,8,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002262,Evidence for Development,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"345,992",15/08/12,14/08/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002242,Economic Development Policy Grant 2014-2019,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"12,800,000",01/04/14,31/03/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002284,GAIN Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,622,267",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002285,GALVMED PHASE 2,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,300,000",01/04/12,31/03/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002286,Gender Links Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"718,597",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002287,Ghana Health Sector Support Programme - 2012 - 2018,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"9,708,007",01/08/12,31/07/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002288,Ghana Oil and Gas for Inclusive Growth,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"218,120",01/04/14,31/03/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002105,Achieving Water Security in the Southern Agricultural Growth Corridor,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,053,061",01/12/12,30/11/16,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002106,ActionAid Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,736,856",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002107,Adapt Environmental and Climate Resilience in Sudan,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,475,250",06/08/15,05/08/19,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002108,Adaptation for Smallholder Agricultural Programme (ASAP),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"12,293,623",17/08/11,16/08/23,12,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002109,ADD International Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,303,899",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002110,Additional DFID Funding for International Finance Facility for Immunisation (IFFIm) for Health Systems Strengthening (HSS),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"12,497,440",03/04/10,02/04/30,20,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002111,Addressing Drug Resistant Malaria in Burma,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,112,038",01/10/11,30/09/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002112,Addressing Stunting in Tanzania Early Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,657,143",07/09/12,06/09/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002114,Afghanistan Infrastructure Trust Fund: Phase 2,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"32,500,000",01/12/13,30/11/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002115,"Afghanistan Reconstruction Trust Fund, 2014-2017",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"85,000,000",01/08/13,31/07/16,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002123,African Agriculture Technology (AATF) Phase III (2015-2020),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,500,000",03/10/15,02/10/19,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002124,African Development Bank General Capital Increase 6.,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"6,677,368",01/04/11,31/03/18,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002125,African Development Fund 13th Reple...,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"151,396,419",16/07/12,15/07/16,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002126,African Institute for Mathematical Sciences,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,632,000",09/08/12,08/08/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002127,African Legal Support Facility (ALSF),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,333,333",01/01/14,31/12/16,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002128,African Risk Capacity (ARC),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"391,500",28/05/12,27/05/32,20,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002129,African Union Support Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,717,083",30/01/14,29/01/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002130,AgDevCo Ghana Greenfields Investment Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"617,500",15/11/12,14/11/16,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002131,AGMIP - Agricultural Model Inter-Comparison and Improvement Project,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,675,042",06/09/10,05/09/16,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002132,AgResults: Innovation in Research and Delivery,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,750,002",14/12/11,13/12/23,12,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002133,AGRI- TECH CATALYST- Supporting Agricultural Innovation for International Development,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,500,000",01/04/14,31/03/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002134,Agriculture - Farm Input Subsidy Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"6,451,348",27/09/11,26/09/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002135,Alliance for Health Policy and Systems Research 2011 - 2016,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,750,000",01/11/11,31/10/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002136,Amplify Open Innovation for Development,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,000,000",21/11/13,20/11/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002137,"Annual assessed contribution over four calendar year-period 2016-2019 to the United Nations Educational, Scientific and Cultural Organisation",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"8,833,333",11/07/13,10/07/19,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002138,Anti Corruption Evidence ' ACE' Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"728,300",01/01/15,31/12/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002139,Arab Partnership Economic Facility (APEF) - Natural Resource Management in the Middle East and North Africa (MENA) Region,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,602,000",22/07/13,21/07/16,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002116,Africa Division funding to the African Agriculture Development Company (AgDevCo),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"5,952,526",01/06/13,31/05/20,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002117,Africa Enterprise Challenge Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,460,000",01/11/10,31/10/20,10,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002118,Africa Enterprise Challenge Fund (AECF),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,013,000",20/06/08,19/06/18,10,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002119,Africa Enterprise Challenge Fund (South Sudan),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"638,221",05/09/11,04/09/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002120,Africa Programme for Onchocerciasis - (River blindness) Control (APOC),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,000,000",07/04/14,06/04/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002121,Africa Regional Programme for Improved Empowerment and Accountability in Africa,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,830,000",18/05/11,17/05/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002122,Africa University Research Approaches (AURA) Capacity Development Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"500,000",01/03/14,28/02/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002140,Arab Partnership Economic Facility (APEF): Shell Foundation Enterprise Development,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,500,000",06/08/13,05/08/16,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002141,Article 19 Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"624,090",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002142,Asia Foundation Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,811,785",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002143,Asia Regional Research Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"78,734",15/05/12,14/05/16,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002144,Asian Development Fund XI Replenishment. The United Kingdom?s contribution to the 10th replenishment of the Asian Development Fund for the period 2013 to 2016. Asian Development Fund is the concessional loans and grants arm of the Asian Development Bank,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"22,222,222",16/07/12,15/07/21,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002145,Assisting Institutions and Markets for Resilience ( AIM 4 Resilience),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,833,333",01/02/14,31/01/20,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002197,Closing the gender gap in Africa: Evaluating new policies and practices for women's economic empowerment,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"885,650",01/01/13,31/12/16,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002198,Comic Relief Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,144,444",01/08/09,31/07/18,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002146,Avocats Sans Frontieres Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,668,019",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002147,Bangladesh Education Development Programme (BEDP),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"16,590,538",19/09/10,18/09/17,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002148,Bangladesh Humanitarian Preparedness and Response,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,814,973",27/06/11,26/06/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002149,Bangladesh Policy Fund,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"62,954",01/08/07,31/07/17,10,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002150,BEED - Business Environment for Economic Development,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,960,000",22/08/13,21/08/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002151,Better Education Statistics for Improved Learning (BESt),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,600,000",01/12/13,30/11/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002152,Big Results Now delivery programme Phase II,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"9,250,000",01/06/13,31/05/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002153,Big Results Now in Education Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"13,950,000",24/09/13,23/09/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002154,British Red Cross Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,883,694",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002155,Building a Reliable Investment Climate in Kenya (BRICK),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,769,800",01/10/12,30/09/16,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002156,"Building adaptation to climate change in health through resilient water, sanitation & hygiene",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,712,500",01/03/13,28/02/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002157,Building Empowerment and Accountability in Malawi,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"170,679",16/06/09,15/06/17,8,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002158,Building Resilience and Adaptation to Climate Extremes and Disasters,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"23,831,722",27/06/13,26/06/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002159,Building Resilience in the Sahel through Adaptive Social Protection,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"9,400,000",01/12/13,30/11/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002160,Building Resilience Through Asset Creation and Enhancement II ? South Sudan (ICF Programme),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"10,150,000",01/01/16,31/12/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002162,Building Urban Resilience to Climate Change in Tanzania,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"7,000,000",01/12/14,30/11/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002164,Business Enabling Environment Programme - Private Sector Led Growth,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,100,750",01/01/15,31/12/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002165,Business Enabling Environment Programme (BEEP) in Zimbabwe,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"205,333",01/04/13,31/03/16,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002166,Business for Shared Prosperity in Burma,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"5,000,000",26/11/15,25/11/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002167,Business in the Community: Private Sector Engagement Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"125,833",09/05/12,08/05/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002168,CAFEF ? Conflict-Affected and Fragile Economies Facility,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"6,875,000",01/03/14,28/02/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002169,CAFOD Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,804,289",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002170,Carbon Market Finance for Africa (CMF-Africa),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,076,923",25/01/12,24/01/25,13,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002171,Care Adaptation Learning Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,042,857",01/01/10,31/12/16,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002172,CARE International UK Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,718,258",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002173,CARIAA - Collaborative Adaptation Research Initiative in Africa and Asia,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"5,833,333",01/04/12,31/03/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002174,Caribbean Anti-Corruption Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,391,200",31/03/15,30/03/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002175,Caribbean Development Bank General Capital Increase,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,233,333",20/05/11,19/05/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002176,Caribbean Development Bank Special Development Fund 8th Replenishment (SDF 8),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"9,000,000",16/07/12,15/07/16,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002178,CCMCC Promoting cooperation and avoiding conflict in managing the impacts of climate change,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"900,000",06/02/12,05/02/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002179,CDA Collaborative Learning Projects Project Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"564,576",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002181,Central Asia Investment Climate Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"900,000",18/10/12,17/10/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002182,Central Asia South Asia (CASA 1000) Electricity Transmission Project,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"8,333,333",15/06/15,14/06/18,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002183,Centres for Learning on Evaluation and Results (CLEAR),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"523,214",01/07/12,30/06/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002185,CHASE Urban programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"301,599",30/01/14,29/01/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002186,Child Development Grant (CDG) PROGRAMME,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"9,067,143",01/11/11,31/10/18,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002187,Child Safeguarding in the UK Overseas Territories,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"459,689",27/01/14,26/01/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002188,Christian Aid Programme Partnership Arrangement,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"8,344,316",01/04/11,31/03/16,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002189,CIRCLE - Climate Impacts Research Capacity and Leadership Enhancement.,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,241,185",01/06/13,31/05/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002190,Citizen Security and Justice Programme 3,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,200,000",01/04/14,31/03/19,5,General Grants - Un-competed,International,1. General public services
